location,measure,rawValue,year,fips
Pennington,Adult,4944,2018,27113
Pennington,Adult,5220,2017,27113
Pennington,Adult,3030,2016,27113
Pennington,Adult,2552,2015,27113
Pennington,Adult,3661,2014,27113
Pennington,Adult,3938,2013,27113
Pennington,Adult,4266,2012,27113
Pennington,Adult,5491,2011,27113
Pennington,Senior,1186,2022,27113
Pennington,Senior,557,2021,27113
Pennington,Senior,1296,2020,27113
Pennington,Senior,897,2019,27113
Pennington,Senior,1044,2018,27113
Pennington,Senior,959,2017,27113
Pennington,Senior,511,2016,27113
Pennington,Senior,378,2015,27113
Pennington,Senior,580,2014,27113
Pennington,Senior,724,2013,27113
Pennington,Senior,535,2012,27113
Pennington,Senior,585,2011,27113
Pennington,Individual,7078,2022,27113
Pennington,Individual,4416,2021,27113
Pennington,Individual,9848,2020,27113
Pennington,Individual,8121,2019,27113
Pennington,Individual,8896,2018,27113
Pennington,Individual,9308,2017,27113
Pennington,Individual,5329,2016,27113
Pennington,Individual,4274,2015,27113
Pennington,Individual,5992,2014,27113
Pennington,Individual,6787,2013,27113
Pennington,Individual,7619,2012,27113
Pennington,Individual,9471,2011,27113
Pennington,Household,1706,2022,27113
Pennington,Household,908,2021,27113
Pennington,Household,2335,2020,27113
Pennington,Household,1917,2019,27113
Pennington,Household,2750,2018,27113
Pennington,Household,3720,2017,27113
Pennington,Household,2461,2016,27113
Pennington,Household,1938,2015,27113
Pennington,Household,2748,2014,27113
Pennington,Household,2433,2013,27113
Pennington,Household,2585,2012,27113
Pennington,Household,3296,2011,27113
Pennington,Pounds,288909,2022,27113
Pennington,Pounds,131272,2021,27113
Pennington,Pounds,591853,2020,27113
Pennington,Pounds,302794,2019,27113
Pennington,Pounds,257992,2018,27113
Pennington,Pounds,202006,2017,27113
Pennington,Pounds,142561,2016,27113
Pennington,Pounds,101867,2015,27113
Pennington,Pounds,152881,2014,27113
Pennington,Pounds,155819,2013,27113
Pennington,Pounds,135415,2012,27113
Pennington,Pounds,259220,2011,27113
Red Lake,Child,451,2022,27125
Red Lake,Child,216,2021,27125
Red Lake,Child,380,2020,27125
Red Lake,Child,615,2019,27125
Red Lake,Child,526,2018,27125
Red Lake,Child,562,2017,27125
Red Lake,Child,617,2016,27125
Red Lake,Child,668,2015,27125
Red Lake,Child,816,2014,27125
Red Lake,Child,410,2013,27125
Red Lake,Child,363,2012,27125
Red Lake,Child,409,2011,27125
Red Lake,Adult,910,2022,27125
Red Lake,Adult,487,2021,27125
Red Lake,Adult,706,2020,27125
Red Lake,Adult,1095,2019,27125
Red Lake,Adult,955,2018,27125
Red Lake,Adult,1007,2017,27125
Red Lake,Adult,1039,2016,27125
Red Lake,Adult,914,2015,27125
Red Lake,Adult,966,2014,27125
Red Lake,Adult,498,2013,27125
Red Lake,Adult,417,2012,27125
Red Lake,Adult,401,2011,27125
Red Lake,Senior,345,2022,27125
Red Lake,Senior,198,2021,27125
Red Lake,Senior,246,2020,27125
Red Lake,Senior,290,2019,27125
Red Lake,Senior,175,2018,27125
Red Lake,Senior,157,2017,27125
Red Lake,Senior,145,2016,27125
Red Lake,Senior,104,2015,27125
Red Lake,Senior,69,2014,27125
Red Lake,Senior,29,2013,27125
Red Lake,Senior,42,2012,27125
Red Lake,Senior,27,2011,27125
Red Lake,Individual,1706,2022,27125
Red Lake,Individual,901,2021,27125
Red Lake,Individual,1332,2020,27125
Red Lake,Individual,2000,2019,27125
Red Lake,Individual,1656,2018,27125
Red Lake,Individual,1726,2017,27125
Red Lake,Individual,1801,2016,27125
Red Lake,Individual,1686,2015,27125
Red Lake,Individual,1851,2014,27125
Red Lake,Individual,937,2013,27125
Red Lake,Individual,822,2012,27125
Red Lake,Individual,837,2011,27125
Red Lake,Household,787,2022,27125
Red Lake,Household,443,2021,27125
Red Lake,Household,601,2020,27125
Red Lake,Household,859,2019,27125
Red Lake,Household,716,2018,27125
Red Lake,Household,752,2017,27125
Red Lake,Household,739,2016,27125
Red Lake,Household,584,2015,27125
Red Lake,Household,584,2014,27125
Red Lake,Household,371,2013,27125
Red Lake,Household,265,2012,27125
Red Lake,Household,251,2011,27125
Red Lake,Pounds,74132,2022,27125
Red Lake,Pounds,32644,2021,27125
Red Lake,Pounds,87583,2020,27125
Red Lake,Pounds,51597,2019,27125
Red Lake,Pounds,38223,2018,27125
Red Lake,Pounds,38338,2017,27125
Red Lake,Pounds,33906,2016,27125
Red Lake,Pounds,29026,2015,27125
Red Lake,Pounds,30004,2014,27125
Red Lake,Pounds,15800,2013,27125
Red Lake,Pounds,9121,2012,27125
Red Lake,Pounds,9895,2011,27125
Roseau,Child,1273,2022,27135
Roseau,Child,1011,2021,27135
Roseau,Child,1528,2020,27135
