fips,location,year,subject,count,percentage,rating,Notes
27113,Pennington,2019,math,97,0.647,Proficient,
27113,Pennington,2018,reading,79,0.441,Not Proficient,
27113,Pennington,2018,reading,100,0.559,Proficient,
27113,Pennington,2018,math,55,0.307,Not Proficient,
27113,Pennington,2018,math,124,0.693,Proficient,
27113,Pennington,2017,reading,93,0.531,Not Proficient,
27113,Pennington,2017,reading,82,0.469,Proficient,
27113,Pennington,2017,math,59,0.337,Not Proficient,
27113,Pennington,2017,math,116,0.663,Proficient,
27125,Red Lake,2023,reading,27,0.409,Not Proficient,
27125,Red Lake,2023,reading,39,0.591,Proficient,
27125,Red Lake,2023,math,16,0.242,Not Proficient,
27125,Red Lake,2023,math,50,0.758,Proficient,
27125,Red Lake,2022,reading,32,0.471,Not Proficient,
27125,Red Lake,2022,reading,36,0.529,Proficient,
27125,Red Lake,2022,math,24,0.353,Not Proficient,
27125,Red Lake,2022,math,44,0.647,Proficient,
27125,Red Lake,2021,reading,27,0.519,Not Proficient,
27125,Red Lake,2021,reading,25,0.481,Proficient,
27125,Red Lake,2021,math,14,0.269,Not Proficient,
27125,Red Lake,2021,math,38,0.731,Proficient,
27125,Red Lake,2020,reading,NA,NA,Not Proficient,
27125,Red Lake,2020,reading,NA,NA,Proficient,
27125,Red Lake,2020,math,NA,NA,Not Proficient,
27125,Red Lake,2020,math,NA,NA,Proficient,
27125,Red Lake,2019,reading,27,0.443,Not Proficient,
27125,Red Lake,2019,reading,34,0.557,Proficient,
27125,Red Lake,2019,math,11,0.18,Not Proficient,
27125,Red Lake,2019,math,50,0.82,Proficient,
27125,Red Lake,2018,reading,11,0.282,Not Proficient,
27125,Red Lake,2018,reading,28,0.718,Proficient,
27125,Red Lake,2018,math,NA,NA,Not Proficient,Count less than 10
27125,Red Lake,2018,math,32,0.821,Proficient,
27125,Red Lake,2017,reading,31,0.463,Not Proficient,
27125,Red Lake,2017,reading,36,0.537,Proficient,
27125,Red Lake,2017,math,18,0.269,Not Proficient,
27125,Red Lake,2017,math,49,0.731,Proficient,
27135,Roseau,2023,reading,106,0.555,Not Proficient,
27135,Roseau,2023,reading,85,0.445,Proficient,
27135,Roseau,2023,math,74,0.379,Not Proficient,
27135,Roseau,2023,math,121,0.621,Proficient,
27135,Roseau,2022,reading,100,0.488,Not Proficient,
27135,Roseau,2022,reading,105,0.512,Proficient,
27135,Roseau,2022,math,77,0.37,Not Proficient,
27135,Roseau,2022,math,131,0.63,Proficient,
27135,Roseau,2021,reading,66,0.377,Not Proficient,
27135,Roseau,2021,reading,109,0.623,Proficient,
27135,Roseau,2021,math,50,0.291,Not Proficient,
27135,Roseau,2021,math,122,0.709,Proficient,
27135,Roseau,2020,reading,NA,NA,Not Proficient,
27135,Roseau,2020,reading,NA,NA,Proficient,
27135,Roseau,2020,math,NA,NA,Not Proficient,
27135,Roseau,2020,math,NA,NA,Proficient,
27135,Roseau,2019,reading,72,0.381,Not Proficient,
27135,Roseau,2019,reading,117,0.619,Proficient,
27135,Roseau,2019,math,44,0.232,Not Proficient,
27135,Roseau,2019,math,146,0.768,Proficient,
27135,Roseau,2018,reading,52,0.31,Not Proficient,
27135,Roseau,2018,reading,116,0.69,Proficient,
27135,Roseau,2018,math,52,0.31,Not Proficient,
27135,Roseau,2018,math,116,0.69,Proficient,
27135,Roseau,2017,reading,82,0.423,Not Proficient,
27135,Roseau,2017,reading,112,0.577,Proficient,
27135,Roseau,2017,math,42,0.218,Not Proficient,
27135,Roseau,2017,math,151,0.782,Proficient,
