"fips","county","personPerSqMile","e_totpop","area_sqmi","st","state","st_abbr","stcnty","location","m_totpop","e_hu","m_hu","e_hh","m_hh","e_pov150","m_pov150","e_unemp","m_unemp","e_hburd","m_hburd","e_nohsdp","m_nohsdp","e_uninsur","m_uninsur","e_age65","m_age65","e_age17","m_age17","e_disabl","m_disabl","e_sngpnt","m_sngpnt","e_limeng","m_limeng","e_minrty","m_minrty","e_munit","m_munit","e_mobile","m_mobile","e_crowd","m_crowd","e_noveh","m_noveh","e_groupq","m_groupq","ep_pov150","mp_pov150","ep_unemp","mp_unemp","ep_hburd","mp_hburd","ep_nohsdp","mp_nohsdp","ep_uninsur","mp_uninsur","ep_age65","mp_age65","ep_age17","mp_age17","ep_disabl","mp_disabl","ep_sngpnt","mp_sngpnt","ep_limeng","mp_limeng","ep_minrty","mp_minrty","ep_munit","mp_munit","ep_mobile","mp_mobile","ep_crowd","mp_crowd","ep_noveh","mp_noveh","ep_groupq","mp_groupq","epl_pov150","epl_unemp","epl_hburd","epl_nohsdp","epl_uninsur","spl_theme1","rpl_theme1","epl_age65","epl_age17","epl_disabl","epl_sngpnt","epl_limeng","spl_theme2","rpl_theme2","epl_minrty","spl_theme3","rpl_theme3","epl_munit","epl_mobile","epl_crowd","epl_noveh","epl_groupq","spl_theme4","rpl_theme4","spl_themes","rpl_themes","f_pov150","f_unemp","f_hburd","f_nohsdp","f_uninsur","f_theme1","f_age65","f_age17","f_disabl","f_sngpnt","f_limeng","f_theme2","f_minrty","f_theme3","f_munit","f_mobile","f_crowd","f_noveh","f_groupq","f_theme4","f_total","e_daypop","e_noint","m_noint","e_afam","m_afam","e_hisp","m_hisp","e_asian","m_asian","e_aian","m_aian","e_nhpi","m_nhpi","e_twomore","m_twomore","e_otherrace","m_otherrace","ep_noint","mp_noint","ep_afam","mp_afam","ep_hisp","mp_hisp","ep_asian","mp_asian","ep_aian","mp_aian","ep_nhpi","mp_nhpi","ep_twomore","mp_twomore","ep_otherrace","mp_otherrace"
99,"Minnesota",71.5205519644137,5695292,79631.5442704328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,"CHS",8.29513257506079,46409,5594.72673643916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27089,"Marshall",5.07983047850616,9017,1775.0592343884,27,"Minnesota","MN",27089,"Marshall",0,4430,43,3746,79,1361,175,128,33,621,78,467,76,365,73,2003,22,2100,22,1109,97,183,43,50,53,714,26,211,48,447,40,43,17,146,51,134,9,15.4,2,2.9,0.7,16.6,2.1,7.4,1.2,4.1,0.8,22.2,0.2,23.3,0.2,12.4,1.1,4.9,1.1,0.6,0.6,7.9,0.3,4.8,1.1,10.1,0.9,1.1,0.4,3.9,1.3,1.5,0.1,0.2326,0.2209,0.0465,0.7093,0.2674,1.4767,0.2326,0.6977,0.5698,0.4186,0.5349,0.407,2.628,0.6512,0.2209,0.2209,0.2209,0.1744,0.8837,0.186,0.1163,0.2326,1.593,0.2093,5.9186,0.2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5632,548,66,30,18,437,0,25,10,31,11,0,13,174,28,17,18,14.6,1.8,0.3,0.2,4.8,0,0.3,0.1,0.3,0.1,0,0.2,1.9,0.3,0.2,0.2
27135,"Roseau",9.14854129537719,15294,1671.74192105665,27,"Minnesota","MN",27135,"Roseau",0,7159,79,5833,140,2365,297,356,88,1179,137,742,125,728,127,2788,48,3653,0,1641,147,368,101,82,69,1584,111,694,112,1007,105,62,25,313,77,210,32,15.7,2,4.3,1.1,20.2,2.3,7.1,1.2,4.8,0.8,18.2,0.3,23.9,0,10.9,1,6.3,1.7,0.6,0.5,10.4,0.7,9.7,1.6,14.1,1.5,1.1,0.3,5.4,1.3,1.4,0.2,0.2907,0.6744,0.4767,0.6047,0.4419,2.4884,0.5116,0.3256,0.6628,0.1512,0.8605,0.407,2.4071,0.5465,0.4302,0.4302,0.4302,0.6628,0.9767,0.186,0.5814,0.1512,2.5581,0.5465,7.8838,0.5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14701,1104,117,129,30,248,0,462,32,199,49,0,15,512,138,34,22,18.9,1.9,0.8,0.2,1.6,0,3,0.2,1.3,0.3,0,0.1,3.3,0.9,0.2,0.1
27069,"Kittson",3.81347021649178,4191,1098.99901194339,27,"Minnesota","MN",27069,"Kittson",0,2282,36,1722,77,690,100,65,31,226,46,118,37,177,65,1101,28,911,13,439,82,71,22,5,35,254,22,134,33,146,37,26,15,80,30,320,23,17.1,2.5,3.1,1.4,13.1,2.6,4,1.2,4.4,1.6,26.3,0.7,21.7,0.3,10.9,2,4.2,1.3,0.1,0.9,6.1,0.5,5.8,1.4,6.4,1.6,1.6,0.7,4.6,1.7,7.6,0.5,0.3953,0.314,0,0.0349,0.3372,1.0814,0.1047,0.9302,0.2558,0.1512,0.3023,0.0233,1.6628,0.0465,0.1163,0.1163,0.1163,0.3372,0.7326,0.4302,0.3023,0.9651,2.7674,0.6279,5.6279,0.1512,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,3205,294,65,34,23,56,31,21,9,10,15,0,9,128,44,5,6,17.1,3.6,0.8,0.5,1.3,0.7,0.5,0.2,0.2,0.4,0,0.5,3.1,1.1,0.1,0.1
27113,"Pennington",22.7000079052038,13995,616.519609087526,27,"Minnesota","MN",27113,"Pennington",0,6673,38,6150,125,2178,325,144,55,1306,219,456,94,436,141,2581,45,3148,45,2027,212,306,98,41,61,1541,40,925,168,682,115,68,52,290,101,273,11,15.8,2.4,1.9,0.7,21.2,3.5,4.7,1,3.2,1,18.4,0.3,22.5,0.3,14.7,1.5,5,1.6,0.3,0.5,11,0.3,13.9,2.5,10.2,1.7,1.1,0.8,4.7,1.6,2,0.1,0.3256,0.0581,0.6047,0.093,0.0581,1.1395,0.1395,0.3488,0.4302,0.7442,0.593,0.2093,2.3255,0.4419,0.4651,0.4651,0.4651,0.907,0.8953,0.186,0.3605,0.4767,2.8255,0.6512,6.7556,0.3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16311,668,106,169,62,636,0,175,34,163,87,0,15,342,100,56,41,10.9,1.7,1.2,0.4,4.5,0,1.3,0.2,1.2,0.6,0,0.1,2.4,0.7,0.4,0.3
27125,"Red Lake",9.04703291624404,3912,432.40695996319,27,"Minnesota","MN",27125,"Red Lake",0,1872,27,1638,57,670,112,29,17,296,50,136,31,108,32,852,6,953,19,517,63,65,19,6,34,346,6,98,33,152,36,33,16,74,21,39,3,17.2,2.9,1.5,0.8,18.1,3,5,1.2,2.8,0.8,21.8,0.1,24.4,0.5,13.2,1.6,4,1.2,0.2,0.9,8.8,0.2,5.3,1.8,8.1,1.9,2,0.9,4.5,1.3,1,0.1,0.4186,0.0233,0.186,0.1395,0.0349,0.8023,0.0581,0.6628,0.7442,0.5465,0.2326,0.1047,2.2908,0.4186,0.2907,0.2907,0.2907,0.2442,0.8256,0.6512,0.2558,0.0581,2.0349,0.3372,5.4187,0.1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2822,317,51,32,23,149,0,0,9,60,18,0,9,105,31,0,9,19.4,3.1,0.8,0.6,3.8,0,0,0.5,1.5,0.5,0,0.5,2.7,0.8,0,0.5
